"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core","rho_layer","R_layer","eta_layer","mu_layer"
9.125988726832862,73.513145,20.339452,0.118814,1.599101,3373.2700000000004,6345.612,366.376174,3374.2169999999996,601.620089,29.547352,61.864691
2.5081354818727015,76.785183,22.801495,0.150189,-0.309275,3361.994,5958.931,425.506585,3372.914,545.679775,11.414291,61.155373
13.77727041195352,87.201463,22.060458,0.21195,-0.051267,3346.653,6378.0,447.817217,3372.093,695.301247,13.440778,49.200027
9.525151930906395,77.938104,25.607453,0.131903,-2.694635,3359.045,6586.916,404.831217,3373.0769999999998,592.00844,23.787676,19.367166
6.0820873717143815,74.877764,23.391124,0.164862,-1.658102,3359.2430000000004,6230.501,421.772354,3373.15,489.982304,11.375018,22.958578
2.6006810242345373,79.880139,23.001143,0.123498,0.016036,3367.736,5844.368,410.934956,3373.105,547.897708,1.852303,52.620186
8.540131840887014,76.174353,24.756127,0.123211,-2.155116,3373.974,6311.885,365.583358,3374.349,443.215637,11.173618,59.937961
6.9562649989689,80.125099,25.572143,0.127417,-2.657012,3367.7760000000003,5677.548,420.785586,3373.3300000000004,593.777077,23.397284,18.029738
9.202191772919615,75.328986,25.141362,0.108059,-2.119015,3372.547,6502.521,363.361336,3374.341,418.708873,4.753627,24.72591
6.369835668467412,86.721367,20.831929,0.114984,2.767501,3356.612,6290.563,424.72572,3372.57,641.724004,6.313708,61.142277
7.493621504815739,72.816401,23.780416,0.12995,-1.345446,3369.2799999999997,6539.06,372.840094,3373.67,601.111898,21.682869,51.027479
4.231005540816225,70.967091,20.835303,0.133693,2.065379,3373.06,6033.867,380.054293,3373.663,427.630855,26.961171,41.476494
10.700891165572745,75.468717,20.227204,0.109823,2.548125,3354.939,6967.254,402.229257,3372.817,452.804807,27.133263,34.458223
5.552205000813048,70.001518,24.140284,0.205125,-1.23335,3370.12,6790.331,363.741469,3374.634,503.402499,15.379538,31.55766
7.958541339852678,79.628922,23.833716,0.131334,-1.510396,3355.378,6514.4349999999995,417.153871,3372.017,513.134565,4.95668,42.050788
7.6342718758550525,69.886132,29.208066,0.132111,-0.957216,3337.7599999999998,6812.075,449.98968,3371.627,625.496788,16.507284,28.460137
5.635264167262129,65.755836,29.476863,0.360021,-4.80143,3373.7,5319.549,422.316435,3374.213,571.035976,16.466738,44.508216
4.579928103287365,78.069156,23.079425,0.109365,0.211313,3373.989,6477.246,360.017031,3374.872,483.807745,6.694359,13.973482
9.734230048758585,65.814188,25.86235,0.215755,2.654217,3347.683,6387.171,444.981066,3371.587,576.012046,16.402504,43.789004
6.2436351153011564,68.098396,29.541733,0.295236,4.336329,3361.405,6200.902,414.598985,3373.311,605.440968,16.543933,37.784151
