"chi2","mu","eta","alpha","zeta","Delta","t_rel","rho_mantle","rho_core","R_core"
5.052728643454598,84.984268,19.928882,0.104205,3.709114,-0.73482,-4.665925,3373.956,5555.456999999999,403.17794
11.355435738339986,71.116656,24.288666,0.111968,-0.012087,-1.683788,-8.316041,3373.97,6051.726000000001,375.96407
7.513417047216513,72.451638,26.240885,0.105316,-3.168255,0.918891,-0.000667,3374.156,6786.263,346.191904
8.854262566149268,72.638438,26.444435,0.112791,-3.151348,0.362886,-4.332785,3374.81,6568.9039999999995,353.99923
12.940586817346787,68.131621,25.557841,0.205822,-3.352856,-1.777153,-9.370921,3373.6989999999996,5189.947,429.578511
14.156972474683418,72.486628,21.667496,0.100052,1.901364,-0.226308,-1.542046,3374.3759999999997,6501.17,355.913872
4.766269851744097,74.479987,21.711245,0.131488,1.050923,-1.529179,-6.87767,3374.327,5195.2660000000005,428.814622
7.293913177302251,76.325944,20.393405,0.144035,3.931621,-0.877409,-4.759311,3374.8010000000004,5427.496,411.459969
4.296791492030936,76.273369,24.417885,0.134866,-1.913857,-1.292896,-9.435156,3373.265,5105.724,437.262343
5.157149032694467,68.854068,24.764271,0.174072,-2.828065,0.860959,-3.566801,3374.212,6175.366999999999,369.488377
5.000239265513966,66.852829,21.564084,0.194764,2.750184,-1.265418,-4.83609,3374.476,5162.45,432.631728
4.358874059431848,72.037109,22.573157,0.135065,-0.170299,0.238249,-0.230955,3373.704,5840.652999999999,387.03565
8.08502267044165,67.217496,21.513398,0.176049,0.863446,-0.56484,-1.37222,3374.225,5879.285000000001,384.224333
5.75520679953441,71.205001,21.632754,0.22263,0.34587,-1.105358,-5.855911,3374.049,5412.705,413.174478
10.822073926426992,68.256575,21.917927,0.215034,-0.760028,-1.775913,-6.962833,3374.761,6073.83,374.546258
2.2425431805698386,72.160434,22.875081,0.105629,0.787453,0.911591,-2.550173,3374.232,6339.802,362.319979
7.141462895981514,71.747104,21.204554,0.111002,2.267143,-0.913522,-1.397405,3374.467,5774.24,390.293146
10.392814160985402,73.011112,20.654442,0.261177,1.232367,-0.87888,-5.150501,3373.797,5588.917,401.338652
9.024204874605129,71.264836,23.086909,0.112139,0.163082,-1.92214,-2.452248,3374.7,6971.294999999999,339.254612
2.020275318212426,68.82866,21.4215,0.23407,0.595447,-1.591663,-4.811106,3373.775,5113.108,436.240357
6.963924448416876,69.449259,25.494323,0.238959,-3.720729,-1.169388,-9.741022,3374.268,6114.463,373.076046
3.970310239213222,77.572408,24.19334,0.10166,-1.132723,0.744987,-0.396607,3373.273,5098.166,438.632102
4.929706248237051,75.53978,24.357972,0.149994,-0.080376,-0.948279,-8.656686,3373.313,5106.972,437.056123
4.049008176324818,62.646207,25.052144,0.342751,1.823913,-0.920812,-8.08874,3374.252,6237.684,367.097008
12.360493099943511,73.384662,25.631776,0.116906,-2.909476,0.831637,-2.416081,3373.7940000000003,5965.429,379.17147
4.689195405629049,70.66032,24.52281,0.12937,-1.515884,0.405329,-2.283001,3373.775,6191.734,369.538226
7.578366674561349,78.930143,24.384347,0.123135,-1.017222,-0.8591,-9.030637,3373.882,6385.3369999999995,360.971779
6.566762516176623,68.358705,22.844673,0.17937,0.069807,-1.375959,-6.879984,3375.326,6610.625,351.615793
9.465622147947839,69.472526,21.723831,0.126711,1.613189,-1.145514,-3.061975,3374.024,5956.008,380.09983
6.807123516115537,71.204397,26.240288,0.136229,-3.745538,-1.889176,-6.44291,3373.8959999999997,6080.625,374.020683
5.633648431567097,73.907753,26.489735,0.110653,-3.707355,-0.37431,-1.861861,3374.3219999999997,6339.305,363.104305
9.170751208425196,81.041414,25.075655,0.149732,-2.064609,-0.641235,-9.557809,3374.332,6859.073,343.44672
7.592050525970056,73.012104,24.07619,0.124736,-1.257973,-0.029582,-1.681676,3373.4519999999998,5437.99,410.679994
6.476136025373337,70.518751,25.162911,0.106273,-1.061876,-1.856428,-7.950654,3374.2070000000003,6938.9310000000005,341.249655
6.17230132406632,71.568017,26.651229,0.147822,-4.083889,-1.069363,-4.168988,3373.53,5326.1089999999995,419.056193
6.264569382086928,67.311399,23.308445,0.182552,-1.388854,-1.552161,-3.001626,3374.752,6551.2480000000005,354.767489
8.5632392250514,71.968068,26.38015,0.110988,-2.923884,-0.932275,-5.057223,3374.049,6250.124,366.323678
